caseid,untrustworthy_n_pre,untrustworthy_n_test,total_n_pre,total_n_test,untrustworthy_flag_pre,untrustworthy_flag_test,election_untrustworthy_n_pre,election_untrustworthy_n_test,election_untrustworthy_flag_pre,election_untrustworthy_flag_test,percentage_of_total_pre,percentage_of_total_test,college,trump_support,female,non_white,knowledge,interest,age4_30_44,age4_45_64,age4_65,age4_under_30,race4_black,race4_hispanic,race4_other,race4_white,educ4_college_grad,educ4_hs_or_less,educ4_postgrad,educ4_some_college,weight,won_election_trump,trump_support_pre
1221483903,0,0,3293,3283,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0,0,0,0,0,1,0,0,0,1,0.282634479977616,0,0
1221492355,0,6,254,887,0,1,0,0,0,0,0,0.00676437429537767,0,1,1,0,4,4,0,0,1,0,0,0,0,1,0,0,0,1,0.423507440712553,1,1
1221492873,0,0,5858,11188,0,0,0,0,0,0,0,0,1,0,1,0,4,4,0,0,1,0,0,0,0,1,0,0,1,0,0.494418705187291,0,0
1221494945,0,1,3850,9450,0,1,0,0,0,0,0,1.0582010582010582e-4,0,0,0,0,4,4,0,1,0,0,0,0,0,1,0,0,0,1,0.282634479977616,0,0
1221497479,1,0,1274,2520,1,0,0,0,0,0,7.849293563579278e-4,0,0,0,0,0,4,4,0,1,0,0,0,0,0,1,0,0,0,1,0.282634479977616,0,0
1221499455,0,0,1027,4407,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,1,0,1,0,0,1.9171939538094,0,0
1221499511,1,55,1561,19646,1,1,1,18,1,1,6.406149903907751e-4,0.00279955207166853,1,1,1,0,3,4,0,0,1,0,0,0,0,1,1,0,0,0,0.506502340055462,1,1
1221500423,24,24,9222,15313,1,1,0,0,0,0,0.00260247234873129,0.00156729576177104,0,1,1,0,3,3,0,0,1,0,0,0,0,1,0,0,0,1,1.20698726904374,0,1
1221500589,96,648,3950,19579,1,1,0,0,0,0,0.02430379746835443,0.03309668522396445,0,0,1,0,4,3,0,0,1,0,0,0,0,1,0,0,0,1,1.06063265296598,0,0
1221502675,0,0,4654,8799,0,0,0,0,0,0,0,0,1,0,1,0,4,4,0,0,1,0,0,0,0,1,1,0,0,0,0.344356001406632,0,0
1221515241,0,0,664,514,0,0,0,0,0,0,0,0,1,0,1,0,3,4,0,1,0,0,0,0,0,1,0,0,1,0,0.314025191289454,0,0
1221594611,9,1,28196,14720,1,1,0,0,0,0,3.191942119449567e-4,6.793478260869565e-5,0,1,1,0,1,3,0,1,0,0,0,0,0,1,0,0,0,1,1.10021101128718,1,1
1221700383,0,0,4396,4677,0,0,0,0,0,0,0,0,1,0,1,1,3,3,0,1,0,0,1,0,0,0,0,0,1,0,2.32807632319608,0,0
1221788391,38,12,4881,9867,1,1,10,5,10,1,0.00778528989961073,0.0012161751292186,0,1,0,0,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0.567474410603755,1,1
1221916983,0,0,4774,1972,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,1,0,0,0,0,0,1,0,1,0,0,0.604342335194088,0,0
1221921173,0,0,202,580,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,1,0,1,0,0,6.41164066878541,0,1
1221956435,0,0,4865,5383,0,0,0,0,0,0,0,0,1,1,1,0,3,3,0,1,0,0,0,0,0,1,0,0,1,0,1.14726421437025,0,1
1222049495,0,0,3466,9748,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,1,0,1,0,0,0,0,0,0,1,0.629673231870103,0,0
1222187919,1,0,1257,4570,1,0,0,0,0,0,7.955449482895784e-4,0,0,0,0,0,4,4,0,0,1,0,0,0,0,1,0,1,0,0,0.695820995832437,0,0
1222344241,0,0,4440,14959,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,1,0,0,0,1,1,0,0,0,0.397609427263808,0,0
1222347441,0,0,1340,3847,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,1,0,1,0,0,0.566499138080711,0,0
1222545435,0,0,100,185,0,0,0,0,0,0,0,0,0,1,1,0,2,3,1,0,0,0,0,0,0,1,0,0,0,1,0.250532856373095,1,1
1222591329,3,2,1162,3075,1,1,0,0,0,0,0.00258175559380378,6.504065040650406e-4,0,0,1,1,2,4,0,1,0,0,1,0,0,0,0,0,0,1,0.470082309313646,0,0
1222730375,5,130,6986,50873,1,1,3,42,3,1,7.157171485828801e-4,0.0025553830126,1,0,1,0,3,3,0,1,0,0,0,0,0,1,1,0,0,0,0.943035698805773,0,0
1222780097,0,0,375,698,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,1,0,1,0,0,0,0,0,0,1,0.764721689657533,0,0
1222780557,0,0,84,231,0,0,0,0,0,0,0,0,0,1,1,0,3,2,0,1,0,0,0,0,0,1,0,1,0,0,6.40916565300882,0,1
1222918267,0,0,1531,7242,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0.567474410603755,0,0
1222919251,0,0,2292,5199,0,0,0,0,0,0,0,0,1,1,1,0,3,3,0,1,0,0,0,0,0,1,1,0,0,0,1.01802933941028,0,1
1222921641,4,0,2822,8389,1,0,0,0,0,0,0.00141743444365698,0,0,1,0,1,3,4,0,0,1,0,1,0,0,0,0,0,0,1,1.18561922905941,0,1
1223028315,0,1,7164,7846,0,1,0,0,0,0,0,1.274534794799898e-4,1,0,0,0,3,4,0,0,1,0,0,0,0,1,1,0,0,0,0.325732987036184,0,0
1223033275,0,2,4768,13135,0,1,0,0,0,0,0,1.5226494099733535e-4,0,0,1,0,2,3,0,1,0,0,0,0,0,1,0,0,0,1,1.00880622515003,0,0
1223070509,116,115,8315,17113,1,1,12,26,12,1,0.01395069152134696,0.006720037398469,0,0,0,0,4,4,0,0,1,0,0,0,0,1,0,1,0,0,0.703826282340527,0,0
1223119063,0,0,13845,30269,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,1,0,0,1,0,0,0,0,1,0,0,0.920461604097833,0,0
1223258731,1,10,3351,15132,1,1,0,0,0,0,2.984183825723665e-4,6.608511763150939e-4,0,1,0,0,2,2,1,0,0,0,0,0,0,1,0,1,0,0,3.69919747687605,0,1
1223348941,0,0,76,368,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0,0,0,0,0,1,0,1,0,0,0.573016601529045,0,0
1223351523,0,0,2904,9687,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,1,0,0,0,0,0,1,0,0,0,1,0.174358541610081,0,1
1223352539,0,0,1430,4095,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,1,0,0,0,0,1,0,0,1,0,0.429868904965959,0,0
1223393311,0,0,3175,6980,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,1,0,0,0,0,1,0,0,0,0,1,1.21864166846628,0,0
1223394991,1,0,2202,5267,1,0,0,0,0,0,4.5413260672116256e-4,0,1,1,0,0,4,4,0,1,0,0,0,0,0,1,1,0,0,0,0.521971674027531,0,1
1223596543,0,0,7234,21437,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,1,0,0,0,0,0,1,0,0,1,0,0.445883949538207,0,0
1223597061,0,0,2760,5104,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,1,0,0,0,0,1,1,0,0,0,0.377107289279223,0,0
1223697045,0,8,1203,4225,0,1,0,1,0,1,0,0.00189349112426035,1,0,0,0,4,4,0,1,0,0,0,0,0,1,1,0,0,0,0.336612009303302,0,0
1223800935,0,2,2412,13171,0,1,0,0,0,0,0,1.5184875863639814e-4,0,0,0,0,3,4,0,0,1,0,0,0,0,1,0,1,0,0,0.896704943866161,0,0
1223849935,0,0,236,186,0,0,0,0,0,0,0,0,0,0,1,1,3,4,0,0,1,0,1,0,0,0,0,0,0,1,0.629673231870103,0,0
1223890553,0,0,423,2959,0,0,0,0,0,0,0,0,0,0,1,1,3,4,0,1,0,0,1,0,0,0,0,0,0,1,0.605795360172025,0,0
1223939317,477,104,11044,7879,1,1,10,1,10,1,0.04319087287214777,0.0131996446249524,0,1,0,0,4,4,0,1,0,0,0,0,0,1,0,0,0,1,0.475047979728328,1,1
1223939599,0,0,2953,8450,0,0,0,0,0,0,0,0,1,0,1,0,3,4,0,0,1,0,0,0,0,1,0,0,1,0,0.388070659777166,0,0
1223940933,0,0,3544,58,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,1,0,0,0,0,0,1,0,0,0,1,0.291144065235428,0,0
1223941341,0,0,3012,14325,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,1,0,0,0,0,0,1,0,0,1,0,0.379343597920911,0,0
